id,Company,Launch Date,Launch Time,Launch Site,Vehicle Type,Liftoff Thrust (kN),Payload to Orbit (kg),Rocket Height (m),Fairing Diameter (m),Payload Name,Payload Type,Payload Mass (kg),Payload Orbit,Mission Status,Failure Reason,temperature_2m,Lat,Long,time,relativehumidity_2m,dewpoint_2m,apparent_temperature,pressure_msl,surface_pressure,cloudcover,cloudcover_low,cloudcover_mid,cloudcover_high,windspeed_10m,windspeed_100m,winddirection_10m,winddirection_100m,windgusts_10m,shortwave_radiation,direct_radiation,diffuse_radiation,vapor_pressure_deficit,et0_fao_evapotranspiration,precipitation,weathercode,snowfall,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm,soil_moisture_28_to_100cm,soil_moisture_100_to_255cm,soil_temperature_0_to_7cm,soil_temperature_7_to_28cm,soil_temperature_28_to_100cm,soil_temperature_100_to_255cm
1,SpaceX,24-Mar-06,22:30,Marshall Islands,Falcon 1,343,470,22.25,1.5,FalconSAT-2,Research Satellite,19.5,Low Earth Orbit,Failure,Engine Fire During Launch,27.2,7.131474,171.184478,2006-03-24T22:00,75,22.4,28.1,1010.7,1010.7,38,10,0,97,31.1,34.9,55,55,44.3,614,468,146,0.91,0.4,0,1,0,0,0,0,0,28.3,28.3,28.3,28.3
2,SpaceX,21-Mar-07,1:10,Marshall Islands,Falcon 1,343,470,22.25,1.5,DemoSat,Mass simulator,,Low Earth Orbit,Failure,Engine Shutdown During Launch,27.8,7.131474,171.184478,2007-03-21T01:00,78,23.5,30.4,1010.5,1010.5,11,10,0,8,33.5,38,60,61,47.5,980,858,122,0.83,0.57,0,0,0,0,0,0,0,28.8,28.8,28.8,28.8
3,SpaceX,3-Aug-08,3:34,Marshall Islands,Falcon 1,343,470,22.25,1.5,Trailblazer,Communication Satellite,,Low Earth Orbit,Failure,Collision During Launch,26.5,7.131474,171.184478,2008-08-03T03:00,83,23.4,28.9,1008.7,1008.7,65,24,25,94,24.7,26.9,103,102,35.3,632,402,230,0.58,0.38,0,2,0,0,0,0,0,28.1,28.1,28.1,28.1
4,SpaceX,3-Aug-08,3:34,Marshall Islands,Falcon 1,343,470,22.25,1.5,"PRESat, NanoSail-D",Research Satellites,8,Low Earth Orbit,Failure,Collision During Launch,26.5,7.131474,171.184478,2008-08-03T03:00,83,23.4,28.9,1008.7,1008.7,65,24,25,94,24.7,26.9,103,102,35.3,632,402,230,0.58,0.38,0,2,0,0,0,0,0,28.1,28.1,28.1,28.1
5,SpaceX,3-Aug-08,3:34,Marshall Islands,Falcon 1,343,470,22.25,1.5,Explorers,Human Remains,,Low Earth Orbit,Failure,Collision During Launch,26.5,7.131474,171.184478,2008-08-03T03:00,83,23.4,28.9,1008.7,1008.7,65,24,25,94,24.7,26.9,103,102,35.3,632,402,230,0.58,0.38,0,2,0,0,0,0,0,28.1,28.1,28.1,28.1
6,SpaceX,8-Oct-12,0:35,Cape Canaveral,Falcon 9 (v1.0),4940,10450,54.9,5.2,Orbcomm-OG2,Communication Satellite,150,Low Earth Orbit,Failure,Engine Failure During Flight,26.5,28.4740089,-80.5771737,2012-10-08T00:00,79,22.5,29.2,1015.3,1015.1,56,14,27,91,16.4,16.4,109,109,20.9,0,0,0,0.73,0.05,0,2,0,0.223,0.189,0.097,0.118,26.1,27.1,27.3,27.4
7,SpaceX,28-Jun-15,14:21,Cape Canaveral,Falcon 9 (v1.1),5885,13150,68.4,5.2,SpaceX CRS-7,Space Station Supplies,1952,Low Earth Orbit,Failure,Vehicle Explosion During Flight,28.4,28.4740089,-80.5771737,2015-06-28T14:00,70,22.2,31.7,1017.9,1017.7,2,2,0,0,11.6,12.6,240,243,20.9,532,437,95,1.17,0.38,0,0,0,0.061,0.067,0.105,0.118,33,30.6,29,25
8,SpaceX,1-Sep-16,13:07,Cape Canaveral,Falcon 9 Full Thrust (v1.2),6804,8300,70,5.2,Amos-6,Communication Satellite,5500,Geostationary Transfer Orbit,Failure,Vehicle Explosion Before Launch,27.1,28.4740089,-80.5771737,2016-09-01T13:00,87,24.8,29.8,1013.7,1013.5,89,57,14,98,26.7,29.7,148,149,32.8,117,11,106,0.47,0.11,0.2,51,0,0.299,0.292,0.104,0.12,26.5,26.9,28.9,28
9,Boeing,5-Sep-95,11:10,Cape Canaveral,Delta II 7925,3511,1819,38.1,2.9,Koreasat 1,Communication Satellite,711,Geostationary Transfer Orbit,Failure,"One SRB failed to separate, retarding the booster's orbital velocity.",23.9,28.4740089,-80.5771737,1995-09-05T11:00,92,22.5,28.1,1015.2,1015,59,39,33,13,6.6,6.7,77,74,22.7,0,0,0,0.24,0,0.7,53,0,0.315,0.293,0.287,0.178,24.5,26,27.2,27
10,Boeing,17-Jan-97,16:28,Cape Canaveral,Delta II 7925,3511,1819,38.1,2.9,GPS IIR-1,Global Positioning System,2030,Medium Earth Orbit,Failure,Exploded 13 seconds after launch due to SRB failure.,9.6,28.4740089,-80.5771737,1997-01-17T16:00,65,3.5,3,1023.8,1023.6,55,60,0,3,35.5,38.3,347,348,55.4,466,282,184,0.42,0.19,0,2,0,0.173,0.115,0.116,0.189,14.1,16.6,21.6,23.7
11,Boeing,27-Aug-98,1:17,Cape Canaveral,Delta III 8930,628,3810,35,4,Galaxy 10,Communication Satellite,700,Geostationary Transfer Orbit,Failure,"Flight program, adapted to the Delta II, and not to the Delta III",30,28.4740089,-80.5771737,1998-08-27T01:00,68,23.4,34.4,1011.2,1011,19,0,0,64,8.9,12.1,194,217,14.8,0,0,0,1.37,0.05,0,0,0,0.076,0.122,0.076,0.146,30.1,30.6,29,27.4
12,Boeing,5-May-99,1:00,Cape Canaveral,Delta III 8930,628,3810,35,4,Orion 3,Communication Satellite,,Geostationary Transfer Orbit,Failure,Launch failed due to an anomaly on the second stage,23,28.4740089,-80.5771737,1999-05-05T01:00,52,12.7,20.2,1014.9,1014.7,4,0,0,14,25.6,28.6,104,105,28.1,0,0,0,1.35,0.16,0,0,0,0.047,0.06,0.083,0.135,25.2,25.9,24.6,23.4
13,Boeing,21-Dec-04,21:50,Cape Canaveral,Delta IV Heavy,9411,28370,72,5.1,DemoSat / 3CS-1 & 2,Research Satellite,,Geostationary Transfer Orbit,Failure,Common Booster Cores shutdown prematurely putting the payloads in a lower than planned orbit,18.1,28.4740089,-80.5771737,2004-12-21T21:00,59,9.9,15.7,1023.3,1023.1,67,74,0,0,16.6,17.9,114,115,24.8,133,11,122,0.86,0.15,0,2,0,0.124,0.133,0.166,0.17,18.5,16.4,20.4,24.6
14,Martin Marietta,5-Oct-93,17:56,Vandenberg ,Titan II(23)G,1900,3600,42.9,3,Landsat 6,Enhanced Thematic Mapper,2750,Sun-Synchronous Orbit,Failure,"The kickstage was off axis during its burn, resulting in a failure to achieve orbit.",15.6,34.7420267,-120.5724404,1993-10-05T17:00,82,12.4,14.9,1016.9,1005.3,42,47,0,0,10.2,13.5,312,318,20.5,381,256,125,0.33,0.19,0,1,0,0.086,0.107,0.139,0.159,15.4,15.1,16.8,16.5
15,US Air Force,26-Aug-96,13:59,Cape Canaveral,Titan IIIC,13642,13100,42,3,IDCSP GGTS-2,Gravity Gradient Test Satellite,,Low Earth Orbit,Failure,Payload fairing disintegrated at T+78 seconds leading to a loss of the launch vehicle.,25.9,28.4740089,-80.5771737,1996-08-26T13:00,83,22.8,30.2,1018.1,1017.9,5,0,0,16,7.2,7.6,186,185,14,222,128,94,0.57,0.15,0,0,0,0.06,0.092,0.105,0.204,27.9,29,28,26.8
16,US Air Force,20-May-72,15:30,Vandenberg ,Titan III(24)B,2410,4000,50,3,KH-8 no. 35,Reconnaissance Satellites,3000,Low Earth Orbit,Failure,Agena pressurization failure,11.2,34.7420267,-120.5724404,1972-05-20T15:00,75,6.9,7.3,1013.1,1001.4,28,26,8,0,21.4,28.5,316,316,35.3,207,134,73,0.34,0.1,0,1,0,0.09,0.105,0.138,0.134,11.4,11.9,13.4,12.7
17,US Air Force,20-Jun-67,16:19,Vandenberg ,Titan IIIB,2300,3300,45,1.52,KH-8 Gambit no.06,Reconnaissance Satellites,3000,Polar Orbit,Failure,A problem with the second stage protective skirt caused a lower then planned orbit.,12.5,34.7420267,-120.5724404,1967-06-20T16:00,90,10.9,10,1015.1,1003.4,20,22,0,0,18.6,23.9,139,134,28.8,406,263,143,0.15,0.15,0,0,0,0.104,0.124,0.159,0.152,12.3,13.4,13.4,12.6
18,US Air Force,15-Oct-65,17:23,Cape Canaveral,Titan IIIC,13642,13100,42,3,LCS-2,Research Satellite,,Low Earth Orbit,Failure,The Transtage disintegrated causing a launch failure.,25.4,28.4740089,-80.5771737,1965-10-15T17:00,81,21.8,25,1014.6,1014.4,78,19,100,4,36.4,41.6,32,32,36.4,567,352,215,0.63,0.33,0.1,51,0,0.276,0.16,0.084,0.189,26,24.9,27,27.5
19,US Air Force,1-Sep-64,15:00,Cape Canaveral,Titan IIIA,1936,3100,42,3,Transtage 1,,0,Low Earth Orbit,Failure,Transtage failed to pressurize.,28.5,28.4740089,-80.5771737,1964-09-01T15:00,78,24.4,33.4,1014.2,1014,25,0,1,81,13,14,224,222,18.4,636,518,118,0.86,0.43,0,1,0,0.21,0.245,0.295,0.214,30.7,28.2,28.1,27
20,European Space Agency,23-May-80,14:29, Guiana Space Centre,Ariane 1,2772,1850,50,,CAT-2 / Amsat P3A / Firewheel Subsat,Communication Satellite,,Geostationary Transfer Orbit,Failure,Combustion instability that had occurred in one of the Viking first stage engines.,27,5.1693503,-52.6840761,1980-05-23T14:00,83,24,31.9,1014.2,1012.8,90,64,11,86,10.4,12.6,90,90,24.1,615,320,295,0.59,0.41,0.1,51,0,0.317,0.316,0.293,0.324,26.3,25.3,25.6,25.6
21,European Space Agency,9-Sep-82,2:12, Guiana Space Centre,Ariane 1,2772,1850,50,,MARCES-B / Sirio-2,Communication Satellite,1710,Geostationary Transfer Orbit,Failure,Third stage turbopump malfunction.,26.1,5.1693503,-52.6840761,1982-09-09T02:00,84,23.1,28.9,1013.4,1012,14,13,0,6,18.9,27.1,108,107,31.3,0,0,0,0.55,0.04,0,0,0,0.195,0.163,0.161,0.267,26.7,27.4,26.6,26
22,Brazilian Space Agency,11-Dec-99,19:40,Alc√¢ntara Launch Center,VLS-1,623,380,19,1,SACI-2,Research Satellites,80,Low Earth Orbit,Failure,malfunction of the second stage,28.4,-2.3152893,-44.3700438,1999-12-11T19:00,74,23.3,30.5,1009.2,1009.2,19,5,10,28,24.3,29,50,52,32.8,423,306,117,1.01,0.32,0,0,0,0.294,0.257,0.278,0.37,29.6,28.5,27.8,27.4
23,Arianespace,11-Jul-19,1:53, Guiana Space Centre,Vega,2200,1436,29.9,2.6,Falcon Eye 1,optical reconnaissance system,1197,Low Earth Orbit,Failure,"anomaly occurred shortly after the planned second stage ignition, leading to a loss of the launch vehicle and its payload",24.5,5.1693503,-52.6840761,2019-07-11T01:00,95,23.8,29.5,1014.4,1013,62,8,42,98,7,12.9,125,117,18.4,0,0,0,0.14,0,0.3,51,0,0.272,0.267,0.249,0.325,25,25.9,25.9,26
24,Arianespace,11-Dec-02,22:22, Guiana Space Centre,Ariane 5 ECA,15120,21000,53,5.4,"Hot Bird 7, STENTOR",Communication Satellite,5480,Geostationary Transfer Orbit,Failure,"first stage engine failure, rocket destroyed by range safety.",26,5.1693503,-52.6840761,2002-12-11T22:00,80,22.4,28.3,1012,1010.6,59,21,23,88,19.1,26.1,54,55,31.7,3,0,3,0.66,0.07,0,2,0,0.279,0.27,0.265,0.23,26.2,26.4,26.1,26.5
25,Arianespace,4-Jun-96,12:34, Guiana Space Centre,Ariane 5 G,11400,6900,52,,Cluster,European Space Agency spacecraft,,High Earth Orbit,Failure,"The Ariane 5 program's first launch failed because of a programming error. Range safety officers elected to destroy the rocket during the launch, according to the Ariane 5 Flight 501 failure report. Maiden flight of Ariane 5G",24.5,5.1693503,-52.6840761,1996-06-04T12:00,92,23.1,28.6,1014.1,1012.7,100,62,55,100,10,12.5,283,282,17.3,220,48,172,0.23,0.14,0.1,51,0,0.32,0.333,0.325,0.304,24.5,24.6,25.6,26
26,Arianespace,1-Dec-94,22:57, Guiana Space Centre,Ariane 42P,4334,2930,58.72,,Panamsat-3,Communication Satellite,2920,Geostationary Transfer Orbit,Failure,,24.2,5.1693503,-52.6840761,1994-12-01T22:00,94,23.2,27.7,1009.2,1007.8,46,7,18,95,15.1,20.9,90,90,29.2,1,0,1,0.19,0.03,0.5,53,0,0.336,0.326,0.289,0.229,24.9,25.5,25.6,26.7
27,SpaceX,28-Sep-08,23:15,Marshall Islands,Falcon 1,343,470,22.25,1.5,RatSat (DemoSat),,165,Low Earth Orbit,Success,,25.9,7.131474,171.184478,2008-09-28T22:00,85,23.2,29.2,1012.4,1012.4,72,29,30,93,15.5,16.2,86,86,22.3,455,243,212,0.49,0.29,0.7,53,0,0,0,0,0,28.5,28.5,28.5,28.5
28,SpaceX,14-Jul-09,3:35,Marshall Islands,Falcon 1,343,470,22.25,1.5,RazakSAT,Weather Satellite,180,Low Earth Orbit,Success,,28.4,7.131474,171.184478,2009-07-14T03:00,80,24.6,32.4,1005.8,1005.8,52,25,0,99,23.2,25.7,78,79,36.4,732,586,146,0.77,0.47,0,2,0,0,0,0,0,29,28.9,28.9,28.9
29,SpaceX,4-Jun-10,18:45,Cape Canaveral,Falcon 9 (v1.0),4940,10450,54.9,5.2,Dragon Spacecraft Qualification Unit,,,Low Earth Orbit,Success,,29,28.4740089,-80.5771737,2010-06-04T18:00,81,25.5,37.3,1015.2,1015,29,1,44,6,7,7.9,159,196,14.8,915,753,162,0.76,0.64,0,1,0,0.096,0.071,0.123,0.156,37.8,29,25.9,22.4
30,SpaceX,8-Dec-10,15:43,Cape Canaveral,Falcon 9 (v1.0),4940,10450,54.9,5.2,SpaceX CRS (Dragon C1),Space Station Supplies,,Low Earth Orbit,Success,,12.1,28.4740089,-80.5771737,2010-12-08T15:00,63,5.3,9.7,1020.6,1020.4,0,0,0,1,8.7,8.9,336,339,23,404,314,90,0.53,0.19,0,0,0,0.063,0.083,0.071,0.142,15.1,14.7,22.4,26.5
31,SpaceX,22-May-12,7:44,Cape Canaveral,Falcon 9 (v1.0),4940,10450,54.9,5.2,SpaceX CRS (Dragon C2+),Space Station Supplies,,Low Earth Orbit,Success,,23.6,28.4740089,-80.5771737,2012-05-22T07:00,75,19,25.2,1014.6,1014.4,0,0,0,0,12.4,13.8,188,186,18,0,0,0,0.72,0.04,0,0,0,0.101,0.175,0.095,0.123,22.2,25.8,25.4,23.6
32,SpaceX,8-Oct-12,0:35,Cape Canaveral,Falcon 9 (v1.0),4940,10450,54.9,5.2,SpaceX CRS-1,Space Station Supplies,500,Low Earth Orbit,Success,,26.5,28.4740089,-80.5771737,2012-10-08T00:00,79,22.5,29.2,1015.3,1015.1,56,14,27,91,16.4,16.4,109,109,20.9,0,0,0,0.73,0.05,0,2,0,0.223,0.189,0.097,0.118,26.1,27.1,27.3,27.4
33,SpaceX,1-Mar-13,15:10,Cape Canaveral,Falcon 9 (v1.0),4940,10450,54.9,5.2,SpaceX CRS-2,Space Station Supplies,677,Low Earth Orbit,Success,,14.4,28.4740089,-80.5771737,2013-03-01T15:00,55,5.4,10,1015.8,1015.6,50,0,83,0,22.9,24.2,318,318,35.3,331,179,152,0.75,0.22,0,1,0,0.089,0.103,0.077,0.114,17.7,19.4,21.7,22.9
34,SpaceX,29-Sep-13,16:00,Vandenberg ,Falcon 9 (v1.1),5885,13150,68.4,5.2,CASSIOPE,Communication/Research Satellite,500,Polar Orbit,Success,,16.5,34.7420267,-120.5724404,2013-09-29T16:00,43,3.8,14.4,1017.5,1005.9,0,0,0,0,4.7,8.6,360,345,11.9,281,221,60,1.08,0.15,0,0,0,0.072,0.094,0.123,0.117,13.8,15.4,16.4,16.6
35,SpaceX,3-Dec-13,22:41,Cape Canaveral,Falcon 9 (v1.1),5885,4850,68.4,5.2,SES-8,Communication Satellite,3170,Geostationary Transfer Orbit,Success,,21.5,28.4740089,-80.5771737,2013-12-03T22:00,70,15.8,21.9,1013.7,1013.5,8,0,13,0,10.5,13.2,153,163,18.4,119,80,39,0.77,0.09,0,0,0,0.205,0.221,0.203,0.11,21.7,21.2,22.2,26
36,SpaceX,6-Jan-14,22:06,Cape Canaveral,Falcon 9 (v1.1),5885,4850,68.4,5.2,Thaicom 6,Communication Satellite,3325,Geostationary Transfer Orbit,Success,,18.4,28.4740089,-80.5771737,2014-01-06T22:00,69,12.5,13.5,1018.3,1018.1,100,57,39,92,38.7,44.3,318,318,49.7,103,49,54,0.66,0.15,0,3,0,0.215,0.226,0.19,0.112,20.5,21.3,21.2,24.4
37,SpaceX,18-Apr-14,19:25,Cape Canaveral,Falcon 9 (v1.1),5885,13150,68.4,5.2,SpaceX CRS-3,Space Station Supplies,2296,Low Earth Orbit,Success,,24.9,28.4740089,-80.5771737,2014-04-18T19:00,79,21,24.6,1016,1015.8,88,47,26,100,31.9,41.2,150,152,41.4,408,70,338,0.66,0.27,0.1,51,0,0.168,0.144,0.165,0.12,25.8,23.1,22.5,21.4
38,SpaceX,14-Jul-14,15:15,Cape Canaveral,Falcon 9 (v1.1),5885,13150,68.4,5.2,OG2 Mission 1 (6 OG2 Satellites),Communication Satellite,,Low Earth Orbit,Success,,28.2,28.4740089,-80.5771737,2014-07-14T15:00,75,23.4,33.7,1019.1,1018.9,31,1,1,98,3.7,3.6,169,174,16.9,587,417,170,0.96,0.42,0,1,0,0.163,0.153,0.102,0.117,31.4,28.3,27.7,25.2
39,SpaceX,5-Aug-14,8:00,Cape Canaveral,Falcon 9 (v1.1),5885,4850,68.4,5.2,AsiaSat 8,Communication Satellite,4535,Geostationary Transfer Orbit,Success,,26,28.4740089,-80.5771737,2014-08-05T08:00,90,24.2,27.8,1013.7,1013.5,72,49,10,74,30.2,34.2,237,237,40.3,0,0,0,0.33,0.03,0,2,0,0.151,0.098,0.093,0.116,26.8,29.5,29.2,26.1
40,SpaceX,7-Sep-14,5:00,Cape Canaveral,Falcon 9 (v1.1),5885,4850,68.4,5.2,AsiaSat 6,Communication Satellite,4428,Geostationary Transfer Orbit,Success,,26.6,28.4740089,-80.5771737,2014-09-07T05:00,86,24,30.7,1016.4,1016.2,90,0,100,100,14.3,16.9,170,168,23.4,0,0,0,0.49,0.02,0,3,0,0.232,0.13,0.086,0.114,26.4,28.3,29.4,27.4
41,SpaceX,21-Sep-14,5:52,Cape Canaveral,Falcon 9 (v1.1),5885,4850,68.4,5.2,SpaceX CRS-4,Space Station Supplies,2216,Geostationary Transfer Orbit,Success,,24.5,28.4740089,-80.5771737,2014-09-21T05:00,84,21.8,26.4,1013.2,1013,45,40,4,21,19.9,22.1,314,316,26.6,0,0,0,0.48,0.04,0,1,0,0.298,0.297,0.102,0.114,24.5,26,28.2,27.6
42,SpaceX,10-Jan-15,9:47,Cape Canaveral,Falcon 9 (v1.1),5885,13150,68.4,5.2,SpaceX CRS-5,Space Station Supplies,2395,Low Earth Orbit,Success,,13.5,28.4740089,-80.5771737,2015-01-10T09:00,72,8.6,9,1025.3,1025.1,67,74,0,1,28.4,30.7,340,342,39.2,0,0,0,0.43,0.06,0,2,0,0.09,0.144,0.168,0.115,15.1,18.3,21,23.2
43,SpaceX,11-Feb-15,23:03,Cape Canaveral,Falcon 9 (v1.1),5885,4850,68.4,5.2,DSCOVR,Weather Satellite,570,Sun/Earth Orbit,Success,,15.6,28.4740089,-80.5771737,2015-02-11T22:00,66,9.1,12.2,1016.7,1016.5,1,1,0,0,21.7,22.8,355,355,34.6,295,222,73,0.61,0.17,0,0,0,0.198,0.226,0.177,0.116,18,17.5,18.6,21.5
44,SpaceX,2-Mar-15,3:50,Cape Canaveral,Falcon 9 (v1.1),5885,13150,68.4,5.2,ABS-3A,Communication Satellite,4159,Geostationary Transfer Orbit,Success,,20.2,28.4740089,-80.5771737,2015-03-02T03:00,92,18.9,21.4,1026.8,1026.6,8,1,12,1,14.4,22.1,112,116,16.2,0,0,0,0.19,0,0,0,0,0.267,0.282,0.212,0.117,19.5,20.3,18.6,20.5
